participant_id	original_participant_id	species	sex
sub-1000181910	sub-1000181910	Homo Sapiens	F
sub-1001372857	sub-1001372857	Homo Sapiens	M
sub-1005024327	sub-1005024327	Homo Sapiens	F
sub-1010207282	sub-1010207282	Homo Sapiens	M
sub-1025146065	sub-1025146065	Homo Sapiens	F
sub-1026212250	sub-1026212250	Homo Sapiens	M
sub-1029212302	sub-1029212302	Homo Sapiens	M
sub-1032184063	sub-1032184063	Homo Sapiens	M
sub-1036289507	sub-1036289507	Homo Sapiens	M
sub-1039120564	sub-1039120564	Homo Sapiens	M
sub-1048208693	sub-1048208693	Homo Sapiens	M
sub-1052597362	sub-1052597362	Homo Sapiens	F
sub-1056763709	sub-1056763709	Homo Sapiens	M
sub-1058766119	sub-1058766119	Homo Sapiens	F
sub-1064223281	sub-1064223281	Homo Sapiens	M
sub-1067593183	sub-1067593183	Homo Sapiens	unknown
sub-1068001195	sub-1068001195	Homo Sapiens	M
sub-1071318215	sub-1071318215	Homo Sapiens	unknown
sub-1075344016	sub-1075344016	Homo Sapiens	M
sub-1075906058	sub-1075906058	Homo Sapiens	M
sub-1078812471	sub-1078812471	Homo Sapiens	M
sub-1084222307	sub-1084222307	Homo Sapiens	F
sub-1089025641	sub-1089025641	Homo Sapiens	M
sub-1097944903	sub-1097944903	Homo Sapiens	F
sub-1102763099	sub-1102763099	Homo Sapiens	F
sub-1102806080	sub-1102806080	Homo Sapiens	M
sub-1102847412	sub-1102847412	Homo Sapiens	F
sub-1117352972	sub-1117352972	Homo Sapiens	F
sub-1118108139	sub-1118108139	Homo Sapiens	F
sub-1122692698	sub-1122692698	Homo Sapiens	M
sub-1129830310	sub-1129830310	Homo Sapiens	F
sub-1132340783	sub-1132340783	Homo Sapiens	M
sub-643488707	sub-643488707	Homo Sapiens	M
sub-674562997	sub-674562997	Homo Sapiens	F
sub-685740095	sub-685740095	Homo Sapiens	F
sub-689168779	sub-689168779	Homo Sapiens	M
sub-727391446	sub-727391446	Homo Sapiens	F
sub-731978186	sub-731978186	Homo Sapiens	M
sub-737373545	sub-737373545	Homo Sapiens	M
sub-750786644	sub-750786644	Homo Sapiens	F
sub-758233315	sub-758233315	Homo Sapiens	M
sub-759979832	sub-759979832	Homo Sapiens	M
sub-760110174	sub-760110174	Homo Sapiens	F
sub-766758349	sub-766758349	Homo Sapiens	M
sub-768678784	sub-768678784	Homo Sapiens	M
sub-770227957	sub-770227957	Homo Sapiens	M
sub-783453365	sub-783453365	Homo Sapiens	M
sub-786359945	sub-786359945	Homo Sapiens	M
sub-793165711	sub-793165711	Homo Sapiens	M
sub-835477230	sub-835477230	Homo Sapiens	F
sub-846404050	sub-846404050	Homo Sapiens	M
sub-849052252	sub-849052252	Homo Sapiens	F
sub-852238534	sub-852238534	Homo Sapiens	unknown
sub-854418264	sub-854418264	Homo Sapiens	F
sub-861697826	sub-861697826	Homo Sapiens	unknown
sub-867677402	sub-867677402	Homo Sapiens	F
sub-868104622	sub-868104622	Homo Sapiens	M
sub-879881396	sub-879881396	Homo Sapiens	M
sub-889628154	sub-889628154	Homo Sapiens	M
sub-902323111	sub-902323111	Homo Sapiens	M
sub-922967568	sub-922967568	Homo Sapiens	M
sub-925115441	sub-925115441	Homo Sapiens	unknown
sub-932737114	sub-932737114	Homo Sapiens	M
sub-949398083	sub-949398083	Homo Sapiens	M
sub-956866262	sub-956866262	Homo Sapiens	F
sub-965157881	sub-965157881	Homo Sapiens	F
sub-977091139	sub-977091139	Homo Sapiens	unknown
